Unnamed: 0,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_WRIST_x,RIGHT_WRIST_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,target
278,-0.4293345860234901,0.7465984421787544,-0.8370999253045729,1.6898452990091275,-1.024781076392338,1.0542585353762166,0.5698032609900917,0.7881142544081278,1.1587619820407369,1.6553722462821423,1.4506702215099916,1.0449730789558416,3
279,-0.4262675987266318,0.7472887172808127,-0.8284313870445624,1.6917133959090984,-1.0107488256487311,1.0467202360692982,0.5729026908795101,0.7880162554875201,1.1495342049801032,1.6522864755931617,1.4420322678093205,1.0460979156775825,3
280,-0.4171899211773711,0.7454862002261199,-0.8042224249071342,1.6771225966146908,-0.992899777692148,1.0396693155698724,0.5818489339492354,0.7893195887252908,1.1800246550697746,1.6079886786407818,1.4596713872155436,0.9907542345041512,3
281,-0.4156850532708513,0.7394067372050062,-0.8072733010984632,1.6326904161846636,-0.9743462830003072,1.0056997861465766,0.5836292237549918,0.7764334266643194,1.1976349261424228,1.5534611455784344,1.4542248563293292,0.9578829780269112,3
282,-0.4179896945405709,0.7618826110837397,-0.8228360200121927,1.6552884334226583,-0.9791264755929512,1.0069854326883727,0.5814988955867346,0.7938600751065636,1.2084782770642306,1.5741089857069417,1.4509459632202573,0.9652257715127824,3
283,-0.4192159098141721,0.7645806672846537,-0.8108578226518832,1.6948903342264077,-0.9893026780722196,1.0398946988267497,0.5804000555978155,0.7922920673478121,1.2181203446983662,1.5703411871538064,1.4679432103643368,0.9686972074175608,3
284,-0.4311965244993841,0.7841765895056027,-0.8243910299576263,1.7381419788524213,-1.0166267265702975,1.0830534523289352,0.568388921622594,0.8129678364588989,1.227418266973885,1.5923914466886182,1.4666208796162654,0.9903828547213545,3
285,-0.4298974562799649,0.7711416045844279,-0.8194016101496203,1.704077226603825,-1.0043595679027308,1.0308383483473216,0.5697180346156168,0.7988701162932315,1.2108004446666178,1.605311466319518,1.4582805944316228,1.0162169237326062,3
286,-0.44116367049309096,0.7625222686854516,-0.8261282592994172,1.6684167192411241,-1.0057655275914672,1.040548961688783,0.5583648042137651,0.7932277771519397,1.1982889101163807,1.5858292563492995,1.4390497475760757,1.0111379826878086,3
287,-0.4237377038197741,0.7556108528168738,-0.8038444622828385,1.6532752018125678,-0.9586882110627504,0.9838726798424782,0.5760459463800564,0.7764111603411152,1.2016511832184873,1.5742414211243172,1.4344507503496653,0.9762747804047672,3
288,-0.4253629721643077,0.7536677756143079,-0.8138365076246689,1.6369498012788315,-0.95787452012051,0.9576428758353712,0.5744091543357919,0.7750147911778273,1.2096360043415233,1.5538905452295453,1.439718910339551,0.9392832960307016,3
