,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_ARM_x,RIGHT_ARM_y,RIGHT_HAND_x,RIGHT_HAND_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_ARM_x,LEFT_ARM_y,LEFT_HAND_x,LEFT_HAND_y,RANGE_ELBOW_x,RANGE_ELBOW_y,RANGE_WRIST_x,RANGE_WRIST_y,target
172,-0.5080111933810109,1.0764454199048554,-0.9461545574896401,2.1542270517403783,-0.9918515416368694,1.6268586639187157,-0.43814336410862925,1.0777816318355231,-0.04569698414722929,-0.5273683878216628,0.4913429814624729,1.1123791536782848,1.0429184514785286,2.2279649280134626,0.8837933211036243,1.4399325020186575,0.5515754700160556,1.115585774335178,-0.15912513037490414,-0.7880324259948052,-1.9890730089681685,-0.07373787627308419,-1.8756448627404938,0.18692616190005817,3
173,-0.5115183780406052,1.0790974356243686,-0.9538463194095756,2.2981170164541367,-0.984793354840202,1.6450865820707954,-0.44232794136897047,1.2190195808297684,-0.03094703543062643,-0.6530304343833414,0.488172000471343,1.103980102495862,1.0285187582940378,2.3079314731316356,0.8779790152083509,1.3875257231174434,0.5403467578226947,1.2039513706357736,-0.1505397430856869,-0.9204057500141921,-1.9823650777036135,-0.009814456677498801,-1.8627723700485528,0.25756085895335196,3
174,-0.5033234370124404,1.0537176708683909,-0.968579070465126,2.200847144282934,-1.00102392109359,1.594208258436691,-0.4652556334526856,1.1471294734145432,-0.03244485062846393,-0.6066388858462431,0.4958321016817357,1.0948054974932033,1.0682642230271695,2.274287987858224,0.9093061023286293,1.3894633049873975,0.5724321213454338,1.1794824903650203,-0.1589581206985401,-0.8848246828708265,-2.0368432934922955,-0.07344084357528964,-1.9103300234222194,0.2047449534492937,3
175,-0.5027820212842314,1.0274540823664913,-0.9976884716105443,2.2095011869258996,-1.0022155417848235,1.583820123763565,-0.49490645032631275,1.1820471045594083,-0.004527070174279356,-0.6256810631623347,0.4961995522992838,1.072574096114311,1.06185996128328,2.2679797763569627,0.8975869946531775,1.3449629086196428,0.5656604089839963,1.1954056802426516,-0.16427296663010263,-0.9230168677373198,-2.0595484328938243,-0.05847858943106304,-1.8998025364380011,0.238857215143922,3
176,-0.4971828656854892,1.0737912681414004,-0.9369466315847698,2.297028123608318,-0.9751649999848551,1.614187443055307,-0.43976376589928057,1.2232368554669175,-0.03821836840008531,-0.6828406805530108,0.5028168751253467,1.074511253044803,1.0672991329214663,2.2584441739435785,0.8916855083929951,1.4190853847695923,0.5644822577961196,1.1839329208987754,-0.1756136245284711,-0.8393587891739862,-2.004245764506236,0.03858394966473922,-1.8668505083778502,0.19510205828571453,3
177,-0.488125967214195,1.078796083877793,-0.9679197072590051,2.2642579758603056,-0.9672437272895505,1.5644320931506785,-0.4797937400448102,1.1854618919825124,0.0006759799694545878,-0.699825882709627,0.5118595986421922,1.0841689861550583,1.0830420717664861,2.281584796599371,0.8777494488562392,1.4492432269602284,0.5711824731242939,1.197415810444313,-0.205292622910247,-0.8323415696391426,-2.0509617790254913,-0.017326820739065715,-1.8449931761457898,0.11518886619045002,3
178,-0.5020657267290467,1.0782611750213493,-0.9424282591922729,2.2271582837267574,-0.9584019499911964,1.6007417367931094,-0.4403625324632262,1.148897108705408,-0.01597369079892354,-0.6264165469336481,0.4978644071991131,1.0900818037022737,1.0684468848002469,2.2614710096823027,0.8844442977856464,1.4702073873047194,0.5705824776011337,1.171389205980029,-0.18400258701460045,-0.7912636223775834,-2.0108751439925197,-0.03431272595554548,-1.8428462477768428,0.1305343494883898,3
179,-0.5017393218695069,1.0774311614990162,-0.9722352407468369,2.2002774898259188,-0.9693963793223033,1.4951469971955622,-0.47049591887732994,1.1228463283269026,0.0028388614245335782,-0.7051304926303565,0.49824119181930265,1.0836739367364114,1.0721307936707751,2.262384980503624,0.878818432466174,1.4195103488783272,0.5738896018514725,1.1787110437672126,-0.19331236120460127,-0.8428746316252969,-2.044366034417612,-0.06210749067770527,-1.8482148117884771,0.07563664831723506,3
180,-0.4983325814357358,1.0594676009362465,-0.9612874847938945,2.2297524285085033,-0.9564354412392189,1.5463142623135802,-0.4629549033581587,1.1702848275722568,0.004852043554675584,-0.6834381661949229,0.5015691654129942,1.073485327173343,1.090530162106315,2.2308400744139574,0.8904855785762107,1.4416061772171727,0.5889609966933208,1.1573547472406143,-0.20004458353010435,-0.7892338971967847,-2.0518176469002096,-0.0010876459054541816,-1.8469210198154296,0.10470808509640767,3
181,-0.5170665554616214,1.0623865044369771,-0.9840605471325816,2.177951156436749,-0.970065276361958,1.5038680099615167,-0.4669939916709603,1.115564651999772,0.013995270770623618,-0.6740831464752323,0.4826964491544808,1.0841565435040932,1.067014664401144,2.2230747334631795,0.877684599523068,1.4801147896103923,0.5843182152466632,1.1389181899590863,-0.18933006487807605,-0.7429599438527871,-2.0510752115337256,-0.04512357702643046,-1.847749875885026,0.023753220351124423,3
182,-0.5056931467069036,1.016959366455562,-0.9666116522579338,2.174066729684569,-0.9265583212515416,1.4571911866151526,-0.4609185055510302,1.1571073632290068,0.04005333100639219,-0.7168755430694164,0.49302425765860053,1.067590841028501,1.065853350716858,2.246605806000613,0.8707449679063761,1.38335085940995,0.5728290930582574,1.1790149649721122,-0.19510838281048182,-0.8632549465906634,-2.0324650029747917,-0.07253907631604449,-1.7973032891579177,0.07384032720520253,3
183,-0.5108157942983396,1.0397508568541909,-0.958129077623972,2.2388666114191107,-0.9256751051686323,1.5120539107481514,-0.4473132833256324,1.1991157545649198,0.032453972455339715,-0.726812700670959,0.48869103931760716,1.0711529197645173,1.0686462416998053,2.2185296935488568,0.8665847903977716,1.3751603133727235,0.5799552023821981,1.1473767737843394,-0.20206145130203373,-0.8433693801761333,-2.0267753193237774,0.020336917870253737,-1.7922598955664037,0.13689359737542794,3
